question_id,dataset,latency_total,latency_decomposer,latency_retriever,latency_reasoner,latency_critic
2hop__44815_494136,musique,8.551131400003214,0.0,0.0,0.0,0.0
2hop__640262_122868,musique,3.606006099998922,0.0,0.0,0.0,0.0
2hop__370564_71701,musique,3.6221044000012625,0.0,0.0,0.0,0.0
2hop__6827_79845,musique,2.8460457000001043,0.0,0.0,0.0,0.0
3hop2__90098_156850_10557,musique,6.963384800001222,0.0,0.0,0.0,0.0
2hop__488811_30110,musique,6.272588899999391,0.0,0.0,0.0,0.0
2hop__17827_54024,musique,7.4494312000024365,0.0,0.0,0.0,0.0
2hop__752214_639679,musique,7.191491500001575,0.0,0.0,0.0,0.0
2hop__810884_22402,musique,8.067169800000556,0.0,0.0,0.0,0.0
4hop1__341777_508773_85832_745702,musique,11.701878199997736,0.0,0.0,0.0,0.0
3hop2__132957_222979_40768,musique,7.440448199999082,0.0,0.0,0.0,0.0
2hop__62311_62279,musique,8.290205799999967,0.0,0.0,0.0,0.0
3hop1__365934_87694_124169,musique,3.952805199998693,0.0,0.0,0.0,0.0
2hop__409166_152023,musique,3.4147255000025325,0.0,0.0,0.0,0.0
3hop1__857_846_7821,musique,4.855199999998149,0.0,0.0,0.0,0.0
3hop1__19768_19788_10117,musique,8.147456800001237,0.0,0.0,0.0,0.0
2hop__703767_37168,musique,8.458815900001355,0.0,0.0,0.0,0.0
2hop__56851_343058,musique,12.55154489999768,0.0,0.0,0.0,0.0
3hop2__30152_105395_20999,musique,6.892520800000057,0.0,0.0,0.0,0.0
2hop__42747_83837,musique,6.51584940000248,0.0,0.0,0.0,0.0
2hop__511176_22458,musique,3.08037350000086,0.0,0.0,0.0,0.0
2hop__83800_747874,musique,4.4278596000003745,0.0,0.0,0.0,0.0
2hop__83257_19033,musique,9.440997899997456,0.0,0.0,0.0,0.0
2hop__55966_162341,musique,3.846932000000379,0.0,0.0,0.0,0.0
2hop__754753_57816,musique,4.081028399999923,0.0,0.0,0.0,0.0
3hop1__127837_157828_239539,musique,7.4910020000024815,0.0,0.0,0.0,0.0
3hop1__102461_24918_24991,musique,10.215457099999185,0.0,0.0,0.0,0.0
2hop__612719_6455,musique,6.482711699998617,0.0,0.0,0.0,0.0
2hop__30905_189318,musique,8.70964559999993,0.0,0.0,0.0,0.0
2hop__776377_857193,musique,8.518400200002361,0.0,0.0,0.0,0.0
2hop__411091_625230,musique,4.135045899998659,0.0,0.0,0.0,0.0
4hop2__160585_14670_8987_8529,musique,4.2426352000002225,0.0,0.0,0.0,0.0
3hop1__28404_160713_77246,musique,12.729165900000226,0.0,0.0,0.0,0.0
2hop__8496_21567,musique,8.544384400000126,0.0,0.0,0.0,0.0
2hop__70338_36240,musique,5.798756199998024,0.0,0.0,0.0,0.0
2hop__275891_55984,musique,8.301312399999006,0.0,0.0,0.0,0.0
3hop1__136129_87694_124169,musique,3.7121554000004835,0.0,0.0,0.0,0.0
4hop3__373866_5189_38229_86687,musique,10.108900499999436,0.0,0.0,0.0,0.0
2hop__455158_247871,musique,3.783265999998548,0.0,0.0,0.0,0.0
3hop1__131783_131926_13165,musique,4.749233900001855,0.0,0.0,0.0,0.0
2hop__123214_22402,musique,2.934374899999966,0.0,0.0,0.0,0.0
3hop1__358853_339990_15538,musique,6.645799900001293,0.0,0.0,0.0,0.0
2hop__552546_70131,musique,4.165014899997914,0.0,0.0,0.0,0.0
2hop__67956_463572,musique,3.7466583000023093,0.0,0.0,0.0,0.0
2hop__418360_67370,musique,6.071084600000177,0.0,0.0,0.0,0.0
2hop__73921_807969,musique,3.90387809999811,0.0,0.0,0.0,0.0
3hop1__139787_88110_77129,musique,7.386687400001392,0.0,0.0,0.0,0.0
2hop__141456_6455,musique,6.395358400000987,0.0,0.0,0.0,0.0
3hop2__326964_7855_7713,musique,7.608477400000993,0.0,0.0,0.0,0.0
4hop1__436202_765799_282674_759393,musique,3.3050032000028295,0.0,0.0,0.0,0.0
3hop1__389069_132457_47686,musique,3.136787800001912,0.0,0.0,0.0,0.0
2hop__90773_715759,musique,2.9861844000006386,0.0,0.0,0.0,0.0
2hop__135652_669373,musique,7.009934699999576,0.0,0.0,0.0,0.0
2hop__6736_6733,musique,3.150875100000121,0.0,0.0,0.0,0.0
4hop1__58323_375563_161848_83118,musique,4.715681800000311,0.0,0.0,0.0,0.0
4hop3__524186_219173_862998_72134,musique,7.1914154999976745,0.0,0.0,0.0,0.0
3hop1__354480_834494_34109,musique,3.5764725000008184,0.0,0.0,0.0,0.0
2hop__354635_174222,musique,7.966630299997632,0.0,0.0,0.0,0.0
4hop3__678814_466199_695123_72134,musique,7.686952000000019,0.0,0.0,0.0,0.0
2hop__83405_158262,musique,11.113926999998512,0.0,0.0,0.0,0.0
2hop__60001_512508,musique,3.5712454999993497,0.0,0.0,0.0,0.0
2hop__403712_793210,musique,8.118465899999137,0.0,0.0,0.0,0.0
3hop1__409517_547811_80702,musique,3.324797799999942,0.0,0.0,0.0,0.0
4hop1__433767_32392_823060_610794,musique,5.59176909999951,0.0,0.0,0.0,0.0
4hop2__567956_39078_8987_8974,musique,4.251754799999617,0.0,0.0,0.0,0.0
2hop__689472_52835,musique,8.823284900001454,0.0,0.0,0.0,0.0
