question_id,dataset,latency_total,latency_decomposer,latency_retriever,latency_reasoner,latency_critic
2hop__44815_494136,musique,2.1268364999996265,0.0,0.0,0.0,0.0
2hop__640262_122868,musique,0.9696463000000222,0.0,0.0,0.0,0.0
2hop__370564_71701,musique,0.9032032000031904,0.0,0.0,0.0,0.0
2hop__6827_79845,musique,0.9878958999979659,0.0,0.0,0.0,0.0
3hop2__90098_156850_10557,musique,2.462386699997296,0.0,0.0,0.0,0.0
2hop__488811_30110,musique,1.7504614999998012,0.0,0.0,0.0,0.0
2hop__17827_54024,musique,1.5644129000065732,0.0,0.0,0.0,0.0
2hop__752214_639679,musique,1.849291300000914,0.0,0.0,0.0,0.0
2hop__810884_22402,musique,2.5911801000038395,0.0,0.0,0.0,0.0
4hop1__341777_508773_85832_745702,musique,6.216759599999932,0.0,0.0,0.0,0.0
3hop2__132957_222979_40768,musique,2.304280500000459,0.0,0.0,0.0,0.0
2hop__62311_62279,musique,2.862193399996613,0.0,0.0,0.0,0.0
3hop1__365934_87694_124169,musique,0.9099869999990915,0.0,0.0,0.0,0.0
2hop__409166_152023,musique,0.6405187000054866,0.0,0.0,0.0,0.0
3hop1__857_846_7821,musique,1.0079024999940884,0.0,0.0,0.0,0.0
3hop1__19768_19788_10117,musique,3.053197300003376,0.0,0.0,0.0,0.0
2hop__703767_37168,musique,3.2697801000031177,0.0,0.0,0.0,0.0
2hop__56851_343058,musique,7.485667799999646,0.0,0.0,0.0,0.0
3hop2__30152_105395_20999,musique,1.1605745999986539,0.0,0.0,0.0,0.0
2hop__42747_83837,musique,1.6777256999994279,0.0,0.0,0.0,0.0
2hop__511176_22458,musique,0.8976074000020162,0.0,0.0,0.0,0.0
2hop__83800_747874,musique,1.156812400004128,0.0,0.0,0.0,0.0
2hop__83257_19033,musique,2.895173800003249,0.0,0.0,0.0,0.0
2hop__55966_162341,musique,1.055878199993458,0.0,0.0,0.0,0.0
2hop__754753_57816,musique,0.9800015000000712,0.0,0.0,0.0,0.0
3hop1__127837_157828_239539,musique,2.6719620999938343,0.0,0.0,0.0,0.0
3hop1__102461_24918_24991,musique,4.2100126999939675,0.0,0.0,0.0,0.0
2hop__612719_6455,musique,2.052448100002948,0.0,0.0,0.0,0.0
2hop__30905_189318,musique,3.440769000000728,0.0,0.0,0.0,0.0
2hop__776377_857193,musique,2.192556500005594,0.0,0.0,0.0,0.0
2hop__411091_625230,musique,1.1127699999997276,0.0,0.0,0.0,0.0
4hop2__160585_14670_8987_8529,musique,1.1222415000011097,0.0,0.0,0.0,0.0
3hop1__28404_160713_77246,musique,7.798067299998365,0.0,0.0,0.0,0.0
2hop__8496_21567,musique,3.2834021000016946,0.0,0.0,0.0,0.0
2hop__70338_36240,musique,1.2608391999965534,0.0,0.0,0.0,0.0
2hop__275891_55984,musique,1.7242221999986214,0.0,0.0,0.0,0.0
3hop1__136129_87694_124169,musique,0.9468672000002698,0.0,0.0,0.0,0.0
4hop3__373866_5189_38229_86687,musique,3.5380866000050446,0.0,0.0,0.0,0.0
2hop__455158_247871,musique,0.9981948000058765,0.0,0.0,0.0,0.0
3hop1__131783_131926_13165,musique,1.0125965000042925,0.0,0.0,0.0,0.0
2hop__123214_22402,musique,1.0876404000009643,0.0,0.0,0.0,0.0
3hop1__358853_339990_15538,musique,1.5573834999959217,0.0,0.0,0.0,0.0
2hop__552546_70131,musique,1.0467513999974472,0.0,0.0,0.0,0.0
2hop__67956_463572,musique,1.006962299994484,0.0,0.0,0.0,0.0
2hop__418360_67370,musique,1.1346072000014829,0.0,0.0,0.0,0.0
2hop__73921_807969,musique,0.9568694999979925,0.0,0.0,0.0,0.0
3hop1__139787_88110_77129,musique,2.594767000002321,0.0,0.0,0.0,0.0
2hop__141456_6455,musique,1.9294194000030984,0.0,0.0,0.0,0.0
3hop2__326964_7855_7713,musique,1.9445567000002484,0.0,0.0,0.0,0.0
4hop1__436202_765799_282674_759393,musique,0.8962473000065074,0.0,0.0,0.0,0.0
3hop1__389069_132457_47686,musique,0.8949587999959476,0.0,0.0,0.0,0.0
2hop__90773_715759,musique,1.0568717999994988,0.0,0.0,0.0,0.0
2hop__135652_669373,musique,2.067867899997509,0.0,0.0,0.0,0.0
2hop__6736_6733,musique,0.6205721000005724,0.0,0.0,0.0,0.0
4hop1__58323_375563_161848_83118,musique,0.9711743000007118,0.0,0.0,0.0,0.0
4hop3__524186_219173_862998_72134,musique,1.5149830000009388,0.0,0.0,0.0,0.0
3hop1__354480_834494_34109,musique,0.9077486000023782,0.0,0.0,0.0,0.0
2hop__354635_174222,musique,3.122743099993386,0.0,0.0,0.0,0.0
4hop3__678814_466199_695123_72134,musique,1.9711716000019806,0.0,0.0,0.0,0.0
2hop__83405_158262,musique,5.622750599999563,0.0,0.0,0.0,0.0
2hop__60001_512508,musique,1.1144505999982357,0.0,0.0,0.0,0.0
2hop__403712_793210,musique,2.987140699995507,0.0,0.0,0.0,0.0
3hop1__409517_547811_80702,musique,0.8684967000008328,0.0,0.0,0.0,0.0
4hop1__433767_32392_823060_610794,musique,1.463840500000515,0.0,0.0,0.0,0.0
4hop2__567956_39078_8987_8974,musique,1.0018091000019922,0.0,0.0,0.0,0.0
2hop__689472_52835,musique,2.7051752999977907,0.0,0.0,0.0,0.0
2hop__820739_250752,musique,0.8972576000014669,0.0,0.0,0.0,0.0
2hop__21104_16254,musique,7.719884999998612,0.0,0.0,0.0,0.0
4hop1__726391_153080_33952_34053,musique,1.1385641000015312,0.0,0.0,0.0,0.0
2hop__374767_152023,musique,1.6740963999982341,0.0,0.0,0.0,0.0
4hop3__426860_88460_30152_20999,musique,1.109950600002776,0.0,0.0,0.0,0.0
3hop1__79462_91850_685675,musique,0.8815787999992608,0.0,0.0,0.0,0.0
2hop__289517_139339,musique,1.117873299997882,0.0,0.0,0.0,0.0
4hop1__129721_32392_823060_610794,musique,1.332508899999084,0.0,0.0,0.0,0.0
2hop__142842_68489,musique,0.7206374000015785,0.0,0.0,0.0,0.0
2hop__80546_75184,musique,3.165999999997439,0.0,0.0,0.0,0.0
2hop__323534_810083,musique,0.8884485000016866,0.0,0.0,0.0,0.0
2hop__829474_123956,musique,8.764919900000677,0.0,0.0,0.0,0.0
4hop1__94201_642284_131926_90707,musique,0.790087900000799,0.0,0.0,0.0,0.0
4hop1__629520_49925_13759_736921,musique,3.395046799996635,0.0,0.0,0.0,0.0
3hop1__540585_568433_47686,musique,3.500931499998842,0.0,0.0,0.0,0.0
2hop__56307_604644,musique,0.9885474000038812,0.0,0.0,0.0,0.0
2hop__507528_139339,musique,1.4470784000004642,0.0,0.0,0.0,0.0
2hop__44259_747874,musique,1.0205924999972922,0.0,0.0,0.0,0.0
2hop__428940_135373,musique,1.6951449000043795,0.0,0.0,0.0,0.0
3hop1__147225_30587_83479,musique,2.38983300000109,0.0,0.0,0.0,0.0
2hop__642686_7292,musique,2.046467100000882,0.0,0.0,0.0,0.0
3hop1__107540_720914_27537,musique,1.0314877000055276,0.0,0.0,0.0,0.0
3hop1__161433_33952_33939,musique,1.0984545000028447,0.0,0.0,0.0,0.0
2hop__71871_494136,musique,2.179276700000628,0.0,0.0,0.0,0.0
4hop1__310029_153080_33897_81096,musique,2.0492771999997785,0.0,0.0,0.0,0.0
2hop__620853_22458,musique,1.3661315999997896,0.0,0.0,0.0,0.0
2hop__865828_377862,musique,1.0002072999996017,0.0,0.0,0.0,0.0
4hop3__630723_88460_30152_20999,musique,1.0794497999959276,0.0,0.0,0.0,0.0
4hop3__719125_132409_371500_35031,musique,1.171314800005348,0.0,0.0,0.0,0.0
4hop1__105688_17130_70784_79935,musique,7.317292200001248,0.0,0.0,0.0,0.0
3hop1__376309_160713_77246,musique,13.234376799999154,0.0,0.0,0.0,0.0
4hop1__525129_315334_131926_87157,musique,1.3175670999989961,0.0,0.0,0.0,0.0
3hop1__140554_2053_52946,musique,3.1684817999994266,0.0,0.0,0.0,0.0
3hop1__347858_503371_21711,musique,6.732655700005125,0.0,0.0,0.0,0.0
2hop__709357_136043,musique,0.9497033999941777,0.0,0.0,0.0,0.0
3hop1__516535_834494_34109,musique,2.6068775999956415,0.0,0.0,0.0,0.0
3hop1__639955_834494_34109,musique,1.0095830999998725,0.0,0.0,0.0,0.0
3hop1__786067_228453_86925,musique,1.6352664000005461,0.0,0.0,0.0,0.0
3hop1__506062_792411_51423,musique,0.8135792000030051,0.0,0.0,0.0,0.0
4hop1__60000_59747_211319_557671,musique,1.163945899999817,0.0,0.0,0.0,0.0
3hop1__17192_78396_54865,musique,2.2205881999980193,0.0,0.0,0.0,0.0
3hop2__36852_326964_7713,musique,1.1614573000042583,0.0,0.0,0.0,0.0
2hop__179149_396277,musique,5.557033299999603,0.0,0.0,0.0,0.0
2hop__145203_34088,musique,3.1187094999986584,0.0,0.0,0.0,0.0
3hop1__295815_40769_64047,musique,3.0477668000021367,0.0,0.0,0.0,0.0
3hop1__747772_514761_594810,musique,0.8744271000032313,0.0,0.0,0.0,0.0
