question_id,dataset,latency_total,latency_decomposer,latency_retriever,latency_reasoner,latency_critic
2hop__44815_494136,musique,16.5059954999997,0.0,0.0,0.0,0.0
2hop__640262_122868,musique,12.88364829999773,0.0,0.0,0.0,0.0
2hop__370564_71701,musique,12.15181709999888,0.0,0.0,0.0,0.0
2hop__6827_79845,musique,11.70891599999959,0.0,0.0,0.0,0.0
3hop2__90098_156850_10557,musique,15.294890699999087,0.0,0.0,0.0,0.0
2hop__488811_30110,musique,12.232804499999475,0.0,0.0,0.0,0.0
2hop__17827_54024,musique,12.895020199997816,0.0,0.0,0.0,0.0
2hop__752214_639679,musique,13.325906600002781,0.0,0.0,0.0,0.0
2hop__810884_22402,musique,13.726535399997374,0.0,0.0,0.0,0.0
4hop1__341777_508773_85832_745702,musique,17.24926520000008,0.0,0.0,0.0,0.0
3hop2__132957_222979_40768,musique,15.769393300000957,0.0,0.0,0.0,0.0
2hop__62311_62279,musique,15.199002299999847,0.0,0.0,0.0,0.0
3hop1__365934_87694_124169,musique,14.262333500002569,0.0,0.0,0.0,0.0
2hop__409166_152023,musique,7.10197960000005,0.0,0.0,0.0,0.0
3hop1__857_846_7821,musique,16.103825999998662,0.0,0.0,0.0,0.0
3hop1__19768_19788_10117,musique,14.84972310000012,0.0,0.0,0.0,0.0
2hop__703767_37168,musique,12.238829000001715,0.0,0.0,0.0,0.0
2hop__56851_343058,musique,18.101193100003,0.0,0.0,0.0,0.0
3hop2__30152_105395_20999,musique,11.253899100000126,0.0,0.0,0.0,0.0
2hop__42747_83837,musique,12.622260100000858,0.0,0.0,0.0,0.0
2hop__511176_22458,musique,11.931149100000766,0.0,0.0,0.0,0.0
2hop__83800_747874,musique,15.541803100000834,0.0,0.0,0.0,0.0
2hop__83257_19033,musique,16.941006400000333,0.0,0.0,0.0,0.0
2hop__55966_162341,musique,12.304150199997821,0.0,0.0,0.0,0.0
2hop__754753_57816,musique,11.806733699999313,0.0,0.0,0.0,0.0
3hop1__127837_157828_239539,musique,17.15145389999816,0.0,0.0,0.0,0.0
3hop1__102461_24918_24991,musique,18.095741300003283,0.0,0.0,0.0,0.0
